Geoname ID;Name;ASCII Name;Country Code;Country Name;Coordinates
4946136;Oakham;Oakham;US;United States;42.35287, -72.04535
4946372;Onset;Onset;US;United States;41.74177, -70.65781
4947641;Plympton;Plympton;US;United States;41.95288, -70.81448
4948087;Provincetown;Provincetown;US;United States;42.05295, -70.1864
4950790;Sherborn;Sherborn;US;United States;42.23899, -71.36978
4955149;Westborough;Westborough;US;United States;42.26954, -71.61618
4955884;Winchester;Winchester;US;United States;42.45232, -71.137
4956338;Yarmouth Port;Yarmouth Port;US;United States;41.70205, -70.24947
4957956;Belfast;Belfast;US;United States;44.42591, -69.00642
4957962;Belgrade;Belgrade;US;United States;44.44729, -69.83255
4962442;Denmark;Denmark;US;United States;43.97035, -70.8034
4967237;Hiram;Hiram;US;United States;43.87868, -70.8034
4968937;Kittery;Kittery;US;United States;43.08814, -70.73616
4969532;Limestone;Limestone;US;United States;46.90866, -67.82585
4971699;Mechanic Falls;Mechanic Falls;US;United States;44.11174, -70.39172
4974775;Patten;Patten;US;United States;45.99644, -68.44614
4975603;Poland;Poland;US;United States;44.06063, -70.39367
4979050;South Berwick;South Berwick;US;United States;43.23453, -70.8095
4981750;Veazie;Veazie;US;United States;44.83868, -68.70531
4987304;Buena Vista;Buena Vista;US;United States;43.4203, -83.89858
4992609;Fennville;Fennville;US;United States;42.59392, -86.1017
4994871;Grosse Pointe Woods;Grosse Pointe Woods;US;United States;42.44365, -82.90686
4996718;Hudson;Hudson;US;United States;41.85505, -84.35384
5004062;Novi;Novi;US;United States;42.48059, -83.47549
5007548;Roosevelt Park;Roosevelt Park;US;United States;43.1964, -86.27228
5010856;Spring Lake;Spring Lake;US;United States;43.07696, -86.197
5010917;Springfield;Springfield;US;United States;42.32643, -85.23916
5011020;Standish;Standish;US;United States;43.98308, -83.95888
5012521;Trenton;Trenton;US;United States;42.13949, -83.17826
5014811;White Cloud;White Cloud;US;United States;43.5503, -85.772
5015701;Zeeland;Zeeland;US;United States;42.81252, -86.01865
5015844;Ada;Ada;US;United States;47.29969, -96.51535
5016496;Appleton;Appleton;US;United States;45.19691, -96.01977
5016990;Bagley;Bagley;US;United States;47.52162, -95.39835
5018651;Blaine;Blaine;US;United States;45.1608, -93.23495
5019124;Branch;Branch;US;United States;45.48524, -92.96188
5019335;Brooklyn Park;Brooklyn Park;US;United States;45.09413, -93.35634
5023890;Dassel;Dassel;US;United States;45.08163, -94.30693
5024846;Eagle Lake;Eagle Lake;US;United States;44.16497, -93.88134
5026042;Excelsior;Excelsior;US;United States;44.9033, -93.56635
5030856;Hoyt Lakes;Hoyt Lakes;US;United States;47.51965, -92.13851
5033762;Lake Elmo;Lake Elmo;US;United States;44.9958, -92.87938
5033962;Lakefield;Lakefield;US;United States;43.67746, -95.17166
5037793;Minnetrista;Minnetrista;US;United States;44.9383, -93.71774
5039675;Northfield;Northfield;US;United States;44.4583, -93.1616
5042924;Renville;Renville;US;United States;44.78913, -95.21167
5045258;Saint Michael;Saint Michael;US;United States;45.20996, -93.66496
5045360;Saint Paul;Saint Paul;US;United States;44.94441, -93.09327
5048796;Stewartville;Stewartville;US;United States;43.85552, -92.48851
5056172;Maryville;Maryville;US;United States;40.3461, -94.87247
5057655;Unionville;Unionville;US;United States;40.47696, -93.00326
5060591;Minnewaukan;Minnewaukan;US;United States;48.07139, -99.25236
5071665;La Vista;La Vista;US;United States;41.18389, -96.03113
5078878;Shelton;Shelton;US;United States;40.77918, -98.73091
5079250;South Sioux City;South Sioux City;US;United States;42.47388, -96.41364
5083221;Bedford;Bedford;US;United States;42.94647, -71.5159
5085374;Derry;Derry;US;United States;42.88064, -71.32729
5085900;Enfield;Enfield;US;United States;43.64063, -72.14398
5090496;Nottingham;Nottingham;US;United States;43.11453, -71.09978
5090918;Pembroke;Pembroke;US;United States;43.14675, -71.45757
5093242;Stratford;Stratford;US;United States;44.65505, -71.55564
5095786;Bloomingdale;Bloomingdale;US;United States;41.00204, -74.32654
5095960;Brielle;Brielle;US;United States;40.10789, -74.05653
5096370;Cedar Glen West;Cedar Glen West;US;United States;40.04206, -74.29265
5097017;Cranford;Cranford;US;United States;40.65844, -74.29959
5097152;Dayton;Dayton;US;United States;40.37261, -74.51015
5097438;East Newark;East Newark;US;United States;40.74843, -74.16181
5097801;Fairview;Fairview;US;United States;40.8126, -73.99903
5098343;Garfield;Garfield;US;United States;40.88149, -74.1132
5101073;Mendham;Mendham;US;United States;40.77593, -74.60071
5102208;Oradell;Oradell;US;United States;40.95871, -74.03681
5102729;Plainsboro Center;Plainsboro Center;US;United States;40.33177, -74.5946
5104795;South Belmar;South Belmar;US;United States;40.17095, -74.02736
5104835;South Old Bridge;South Old Bridge;US;United States;40.40816, -74.35432
5105095;Strathmore;Strathmore;US;United States;40.39594, -74.21348
5106877;Alden;Alden;US;United States;42.90006, -78.49197
5107337;Arlington;Arlington;US;United States;41.69593, -73.8968
5107346;Armonk;Armonk;US;United States;41.12648, -73.71402
5109603;Blue Point;Blue Point;US;United States;40.74399, -73.03455
5110133;Bridgeport;Bridgeport;US;United States;42.9159, -76.75245
5110292;Brookhaven;Brookhaven;US;United States;40.77927, -72.91538
5110358;Brookville;Brookville;US;United States;40.81316, -73.56735
5110449;Brownville;Brownville;US;United States;44.007, -75.98409
5111576;Carmel;Carmel;US;United States;41.43009, -73.68013
5112181;Chadwicks;Chadwicks;US;United States;43.02785, -75.27155
5112493;Chestnut Ridge;Chestnut Ridge;US;United States;41.08426, -74.0557
5114252;Crown Heights;Crown Heights;US;United States;41.63732, -73.93792
5118939;Gouverneur;Gouverneur;US;United States;44.33673, -75.46299
5119405;Greenville;Greenville;US;United States;40.99315, -73.81986
5120442;Hell's Kitchen;Hell's Kitchen;US;United States;40.76496, -73.9909
5121182;Honeoye Falls;Honeoye Falls;US;United States;42.95229, -77.59028
5123907;Lakeview;Lakeview;US;United States;42.43202, -75.86547
5124463;Lincoln Park;Lincoln Park;US;United States;41.95065, -73.99403
5126055;Marlboro;Marlboro;US;United States;41.60565, -73.97153
5127364;Montour Falls;Montour Falls;US;United States;42.3473, -76.84524
5128368;Nedrow;Nedrow;US;United States;42.97507, -76.14131
5128723;Niagara Falls;Niagara Falls;US;United States;43.0945, -79.05671
5129093;North Hills;North Hills;US;United States;40.78093, -73.67652
5129313;Northville;Northville;US;United States;43.22563, -74.17208
5130831;Peekskill;Peekskill;US;United States;41.29009, -73.92042
5132002;Port Chester;Port Chester;US;United States;41.00176, -73.66568
5132023;Port Morris;Port Morris;US;United States;40.80149, -73.90958
5132143;Poughkeepsie;Poughkeepsie;US;United States;41.70037, -73.92097
5134419;Roslyn Harbor;Roslyn Harbor;US;United States;40.81649, -73.63707
5136454;Schenectady;Schenectady;US;United States;42.81424, -73.93957
5136494;Schoharie;Schoharie;US;United States;42.66591, -74.30958
5138892;South Huntington;South Huntington;US;United States;40.82371, -73.39873
5139058;Southport;Southport;US;United States;42.0548, -76.81912
5139568;Staten Island;Staten Island;US;United States;40.56233, -74.13986
5141962;University Gardens;University Gardens;US;United States;40.77732, -73.72263
5142362;Viola;Viola;US;United States;41.13648, -74.08236
5143208;Wanakah;Wanakah;US;United States;42.74617, -78.90309
5143285;Warwick;Warwick;US;United States;41.25648, -74.35988
5143789;West End;West End;US;United States;42.46869, -75.09378
5143834;West Henrietta;West Henrietta;US;United States;43.04006, -77.66167
5144580;Williamsburg;Williamsburg;US;United States;40.71427, -73.95347
5145894;Apple Creek;Apple Creek;US;United States;40.75172, -81.8393
5147057;Bellville;Bellville;US;United States;40.62006, -82.51072
5150868;Columbus Grove;Columbus Grove;US;United States;40.9195, -84.05689
5151406;Crestline;Crestline;US;United States;40.78756, -82.73657
5151415;Creston;Creston;US;United States;40.987, -81.89375
5151688;Danville;Danville;US;United States;40.44756, -82.26016
5153680;Fairview Park;Fairview Park;US;United States;41.44144, -81.8643
5155125;Frazeysburg;Frazeysburg;US;United States;40.11729, -82.11931
5157742;Holgate;Holgate;US;United States;41.24894, -84.133
5161262;Lorain;Lorain;US;United States;41.45282, -82.18237
5161382;Lowellville;Lowellville;US;United States;41.03534, -80.53646
5162672;Mentor-on-the-Lake;Mentor-on-the-Lake;US;United States;41.70504, -81.36039
5163008;Millbury;Millbury;US;United States;41.56616, -83.42465
5163137;Mineral Ridge;Mineral Ridge;US;United States;41.14006, -80.76897
5164488;Newburgh Heights;Newburgh Heights;US;United States;41.45005, -81.66346
5164812;North Kingsville;North Kingsville;US;United States;41.90589, -80.69036
5166865;Plain City;Plain City;US;United States;40.10756, -83.26742
5166958;Pleasant Hill;Pleasant Hill;US;United States;40.05172, -84.34439
5176942;Willoughby Hills;Willoughby Hills;US;United States;41.59838, -81.41845
5178351;Annville;Annville;US;United States;40.32954, -76.51524
5178489;Arlington Heights;Arlington Heights;US;United States;40.99009, -75.21629
5178632;Aspinwall;Aspinwall;US;United States;40.49146, -79.90477
5178743;Avon;Avon;US;United States;40.34565, -76.38996
5178839;Bainbridge;Bainbridge;US;United States;40.09093, -76.66747
5179845;Bellwood;Bellwood;US;United States;40.6034, -78.32474
5182842;Cambridge Springs;Cambridge Springs;US;United States;41.80367, -80.05644
5187134;Donora;Donora;US;United States;40.1734, -79.85755
5187297;Dresher;Dresher;US;United States;40.14094, -75.16684
5188105;East Washington;East Washington;US;United States;40.17368, -80.23756
5190360;Franklin Park;Franklin Park;US;United States;40.5834, -80.08784
5194067;Homestead;Homestead;US;United States;40.4059, -79.91199
5194915;Inkerman;Inkerman;US;United States;41.29897, -75.81269
5197463;Lawson Heights;Lawson Heights;US;United States;40.29174, -79.3892
5197725;Lemoyne;Lemoyne;US;United States;40.2412, -76.89414
5197842;Lewisburg;Lewisburg;US;United States;40.96453, -76.88441
5198089;Lincoln Park;Lincoln Park;US;United States;40.31481, -75.98549
5199876;Marienville;Marienville;US;United States;41.46895, -79.1231
5200208;Maytown;Maytown;US;United States;40.07537, -76.58219
5201031;Middletown;Middletown;US;United States;40.64399, -75.3324
5202734;Munhall;Munhall;US;United States;40.39229, -79.90005
5203859;Northumberland;Northumberland;US;United States;40.89175, -76.79747
5204143;Oakdale;Oakdale;US;United States;40.39812, -80.18561
5205497;Pennside;Pennside;US;United States;40.33732, -75.87854
5207307;Punxsutawney;Punxsutawney;US;United States;40.94368, -78.97087
5211033;Saylorsburg;Saylorsburg;US;United States;40.89565, -75.32352
5211637;Shamokin Dam;Shamokin Dam;US;United States;40.8487, -76.81969
5214696;Sugarcreek;Sugarcreek;US;United States;41.42145, -79.88117
5218827;West Norriton;West Norriton;US;United States;40.12955, -75.37852
5220221;Wyndmoor;Wyndmoor;US;United States;40.08122, -75.18934
5225245;Tiverton;Tiverton;US;United States;41.62594, -71.21338
5226523;Britton;Britton;US;United States;45.79162, -97.75094
5228958;Kennebec;Kennebec;US;United States;43.9036, -99.86178
5230309;Parker;Parker;US;United States;43.39748, -97.13645
5235952;Essex Junction;Essex Junction;US;United States;44.49061, -73.11096
5245314;Belgium;Belgium;US;United States;43.49972, -87.85037
5255320;Hales Corners;Hales Corners;US;United States;42.93751, -88.0487
5258575;Kimberly;Kimberly;US;United States;44.27221, -88.339
5260694;Lodi;Lodi;US;United States;43.31388, -89.52651
5260732;Lomira;Lomira;US;United States;43.59138, -88.44371
5262475;Medford;Medford;US;United States;45.13858, -90.34014
5262634;Menomonie;Menomonie;US;United States;44.87552, -91.91934
5271991;Salem;Salem;US;United States;42.55474, -88.11092
5272775;Seymour;Seymour;US;United States;44.82663, -91.43127
5275601;Thiensville;Thiensville;US;United States;43.23751, -87.9787
5278083;Waupaca;Waupaca;US;United States;44.35803, -89.08595
5279356;Winneconne;Winneconne;US;United States;44.11082, -88.71261
5279483;Wittenberg;Wittenberg;US;United States;44.8272, -89.16956
5279715;Woodville;Woodville;US;United States;44.95302, -92.2913
5281551;Ansonia;Ansonia;US;United States;41.34621, -73.079
5294167;Eloy;Eloy;US;United States;32.7559, -111.55484
5295585;Ganado;Ganado;US;United States;35.7114, -109.54205
5301692;LeChee;LeChee;US;United States;35.03224, -110.75291
5303643;Many Farms;Many Farms;US;United States;36.35278, -109.61789
5304060;Mayer;Mayer;US;United States;34.39781, -112.23627
5316209;Sun Lakes;Sun Lakes;US;United States;33.21116, -111.87542
5318320;Tucson Estates;Tucson Estates;US;United States;32.18758, -111.09093
5321473;Winslow;Winslow;US;United States;35.02419, -110.69736
5323060;Alhambra;Alhambra;US;United States;34.09529, -118.12701
5324903;Arvin;Arvin;US;United States;35.20913, -118.82843
5327422;Bellflower;Bellflower;US;United States;33.88168, -118.11701
5328163;Big Bear Lake;Big Bear Lake;US;United States;34.2439, -116.91142
5334320;Carmel-by-the-Sea;Carmel-by-the-Sea;US;United States;36.55524, -121.92329
5336185;Cherry Valley;Cherry Valley;US;United States;33.97252, -116.97725
